event_id,event_type,severity,impact_score
DIS00804,Cyber Attack,High,49
DIS00805,Earthquake,Medium,73
DIS00806,Earthquake,High,11
DIS00807,Cyber Attack,Low,47
DIS00808,Flood,Medium,41
DIS00809,Flood,Medium,35
DIS00810,Supplier Failure,High,87
DIS00811,Flood,Medium,90
DIS00812,Supplier Failure,High,99
DIS00813,Supplier Failure,High,39
DIS00814,Cyber Attack,High,74
DIS00815,Flood,Medium,41
DIS00816,Earthquake,Medium,85
DIS00817,Cyber Attack,Medium,2
DIS00818,Cyber Attack,Low,45
DIS00819,Cyber Attack,Low,21
DIS00820,Supplier Failure,High,17
DIS00821,Port Closure,Low,24
DIS00822,Cyber Attack,High,2
DIS00823,Port Closure,Medium,73
DIS00824,Supplier Failure,High,28
DIS00825,Supplier Failure,High,53
DIS00826,Supplier Failure,High,94
DIS00827,Port Closure,Low,84
DIS00828,Cyber Attack,High,38
DIS00829,Cyber Attack,Low,39
DIS00830,Earthquake,High,26
DIS00831,Earthquake,Low,46
DIS00832,Flood,Low,8
DIS00833,Cyber Attack,High,96
DIS00834,Port Closure,High,30
DIS00835,Supplier Failure,Medium,9
DIS00836,Flood,High,13
DIS00837,Flood,Medium,43
DIS00838,Cyber Attack,High,41
DIS00839,Port Closure,Medium,60
DIS00840,Flood,Low,55
DIS00841,Supplier Failure,High,10
DIS00842,Supplier Failure,Medium,55
DIS00843,Port Closure,Low,25
DIS00844,Earthquake,Medium,39
DIS00845,Port Closure,Low,96
DIS00846,Flood,High,29
DIS00847,Supplier Failure,High,70
DIS00848,Earthquake,High,21
DIS00849,Earthquake,High,33
DIS00850,Cyber Attack,High,84
DIS00851,Flood,Low,23
DIS00852,Supplier Failure,Low,53
DIS00853,Supplier Failure,High,91
DIS00854,Supplier Failure,Low,77
DIS00855,Earthquake,Medium,41
DIS00856,Supplier Failure,Medium,36
DIS00857,Flood,High,40
DIS00858,Flood,Medium,69
DIS00859,Flood,Medium,49
DIS00860,Earthquake,Medium,31
DIS00861,Supplier Failure,High,69
DIS00862,Flood,High,96
DIS00863,Cyber Attack,High,77
DIS00864,Flood,Medium,4
DIS00865,Earthquake,Medium,66
DIS00866,Earthquake,Medium,95
DIS00867,Cyber Attack,Medium,41
DIS00868,Port Closure,Medium,46
DIS00869,Cyber Attack,Medium,55
DIS00870,Earthquake,Low,40
DIS00871,Flood,High,14
DIS00872,Port Closure,Medium,65
DIS00873,Earthquake,Low,3
DIS00874,Cyber Attack,Medium,51
DIS00875,Cyber Attack,Low,21
DIS00876,Cyber Attack,Medium,77
DIS00877,Flood,Low,72
DIS00878,Cyber Attack,Medium,75
DIS00879,Earthquake,Medium,50
DIS00880,Flood,High,85
DIS00881,Earthquake,Low,85
DIS00882,Cyber Attack,Low,38
DIS00883,Supplier Failure,Medium,10
DIS00884,Earthquake,Medium,90
DIS00885,Earthquake,Low,21
DIS00886,Port Closure,Medium,45
DIS00887,Cyber Attack,Low,61
DIS00888,Earthquake,Medium,78
DIS00889,Earthquake,Medium,91
DIS00890,Earthquake,High,18
DIS00891,Supplier Failure,Medium,3
DIS00892,Supplier Failure,Low,95
DIS00893,Cyber Attack,High,24
DIS00894,Earthquake,High,37
DIS00895,Flood,Low,48
DIS00896,Cyber Attack,Medium,69
DIS00897,Port Closure,High,1
DIS00898,Cyber Attack,Low,33
DIS00899,Supplier Failure,High,66
DIS00900,Cyber Attack,Medium,24
DIS00901,Flood,High,36
DIS00902,Earthquake,Medium,73
DIS00903,Cyber Attack,Low,62
DIS00904,Earthquake,High,87
DIS00905,Earthquake,Medium,6
DIS00906,Port Closure,High,39
DIS00907,Port Closure,Low,33
DIS00908,Flood,Medium,76
DIS00909,Earthquake,Low,84
DIS00910,Supplier Failure,Medium,61
DIS00911,Supplier Failure,Low,50
DIS00912,Cyber Attack,Medium,42
DIS00913,Earthquake,High,67
DIS00914,Flood,Low,42
DIS00915,Earthquake,Medium,54
DIS00916,Cyber Attack,Low,84
DIS00917,Flood,Low,74
DIS00918,Port Closure,High,19
DIS00919,Cyber Attack,Medium,28
DIS00920,Earthquake,High,98
DIS00921,Cyber Attack,Medium,50
DIS00922,Cyber Attack,Medium,75
DIS00923,Supplier Failure,Medium,76
DIS00924,Cyber Attack,Medium,42
DIS00925,Earthquake,High,90
DIS00926,Flood,Medium,84
DIS00927,Supplier Failure,Low,5
DIS00928,Cyber Attack,High,42
DIS00929,Port Closure,Medium,77
DIS00930,Earthquake,Low,47
DIS00931,Earthquake,Medium,5
DIS00932,Flood,Medium,82
DIS00933,Earthquake,High,63
DIS00934,Cyber Attack,High,3
DIS00935,Flood,Medium,9
DIS00936,Earthquake,Low,58
DIS00937,Earthquake,Medium,34
DIS00938,Cyber Attack,High,86
DIS00939,Supplier Failure,High,22
DIS00940,Port Closure,Medium,67
DIS00941,Port Closure,Low,48
DIS00942,Supplier Failure,Low,77
DIS00943,Port Closure,Medium,25
DIS00944,Cyber Attack,High,81
DIS00945,Earthquake,Low,66
DIS00946,Flood,Low,37
DIS00947,Port Closure,High,82
DIS00948,Cyber Attack,Medium,63
DIS00949,Earthquake,High,69
DIS00950,Cyber Attack,Medium,62
DIS00951,Flood,Medium,24
DIS00952,Supplier Failure,High,88
DIS00953,Earthquake,Low,61
DIS00954,Port Closure,Low,44
DIS00955,Supplier Failure,Low,22
DIS00956,Supplier Failure,Low,54
DIS00957,Port Closure,Low,59
DIS00958,Earthquake,Low,87
DIS00959,Flood,Medium,30
DIS00960,Flood,High,30
DIS00961,Supplier Failure,Medium,95
DIS00962,Earthquake,High,84
DIS00963,Flood,Low,55
DIS00964,Cyber Attack,Medium,75
DIS00965,Port Closure,Medium,51
DIS00966,Port Closure,Medium,91
DIS00967,Earthquake,Low,78
DIS00968,Earthquake,Low,23
DIS00969,Port Closure,Medium,93
DIS00970,Port Closure,Medium,84
DIS00971,Supplier Failure,High,57
DIS00972,Earthquake,Medium,48
DIS00973,Earthquake,Medium,72
DIS00974,Supplier Failure,Low,56
DIS00975,Supplier Failure,Low,39
DIS00976,Supplier Failure,Medium,15
DIS00977,Supplier Failure,Medium,81
DIS00978,Cyber Attack,High,100
DIS00979,Port Closure,Low,25
DIS00980,Flood,Low,59
DIS00981,Supplier Failure,High,19
DIS00982,Supplier Failure,Low,72
DIS00983,Port Closure,Low,15
DIS00984,Flood,Low,67
DIS00985,Cyber Attack,Low,24
DIS00986,Supplier Failure,Low,5
DIS00987,Supplier Failure,Medium,28
DIS00988,Flood,High,21
DIS00989,Flood,Medium,87
DIS00990,Port Closure,Low,11
DIS00991,Earthquake,Medium,61
DIS00992,Cyber Attack,Low,81
DIS00993,Flood,Low,51
DIS00994,Flood,Medium,84
DIS00995,Supplier Failure,High,55
DIS00996,Cyber Attack,Medium,52
DIS00997,Cyber Attack,Medium,91
DIS00998,Port Closure,Medium,39
DIS00999,Earthquake,Medium,96
DIS01000,Earthquake,High,20
DIS01001,Earthquake,High,28
DIS01002,Cyber Attack,Low,100
DIS01003,Earthquake,High,50
DIS01004,Cyber Attack,Low,51
DIS01005,Flood,High,15
DIS01006,Port Closure,High,37
DIS01007,Earthquake,Low,44
DIS01008,Port Closure,High,55
DIS01009,Cyber Attack,High,5
DIS01010,Port Closure,Low,22
DIS01011,Flood,Medium,37
DIS01012,Flood,Low,67
DIS01013,Cyber Attack,Low,21
DIS01014,Port Closure,Medium,27
DIS01015,Flood,Low,95
DIS01016,Earthquake,Medium,38
DIS01017,Cyber Attack,Medium,73
DIS01018,Supplier Failure,Low,55
DIS01019,Earthquake,Medium,63
DIS01020,Flood,High,39
DIS01021,Supplier Failure,High,84
DIS01022,Supplier Failure,High,88
DIS01023,Earthquake,High,8
DIS01024,Cyber Attack,Medium,45
DIS01025,Supplier Failure,High,35
DIS01026,Earthquake,Medium,94
DIS01027,Earthquake,High,95
DIS01028,Earthquake,Low,20
DIS01029,Flood,Medium,91
DIS01030,Port Closure,Medium,36
DIS01031,Port Closure,Medium,14
DIS01032,Earthquake,Low,23
DIS01033,Cyber Attack,Medium,16
DIS01034,Flood,Low,38
DIS01035,Port Closure,Medium,20
DIS01036,Earthquake,Medium,97
DIS01037,Port Closure,Medium,21
DIS01038,Port Closure,Medium,65
DIS01039,Supplier Failure,Medium,39
DIS01040,Supplier Failure,Low,97
DIS01041,Supplier Failure,Medium,78
DIS01042,Flood,High,90
DIS01043,Port Closure,Low,70
DIS01044,Port Closure,High,95
DIS01045,Supplier Failure,Medium,42
DIS01046,Flood,Medium,39
DIS01047,Supplier Failure,Medium,77
DIS01048,Flood,High,38
DIS01049,Supplier Failure,Low,2
DIS01050,Flood,Medium,2
DIS01051,Earthquake,High,23
DIS01052,Cyber Attack,Medium,88
DIS01053,Cyber Attack,Medium,89
DIS01054,Earthquake,Medium,24
DIS01055,Earthquake,High,44
DIS01056,Port Closure,Low,85
DIS01057,Flood,Low,88
DIS01058,Cyber Attack,Medium,76
DIS01059,Port Closure,Low,78
DIS01060,Port Closure,Low,11
DIS01061,Cyber Attack,High,61
DIS01062,Cyber Attack,Medium,82
DIS01063,Supplier Failure,Low,47
DIS01064,Supplier Failure,High,93
DIS01065,Flood,Medium,100
DIS01066,Supplier Failure,High,80
DIS01067,Earthquake,Medium,92
DIS01068,Earthquake,Medium,24
DIS01069,Flood,Medium,11
DIS01070,Earthquake,High,55
DIS01071,Earthquake,High,68
DIS01072,Earthquake,Low,76
DIS01073,Flood,Low,94
DIS01074,Cyber Attack,Low,37
DIS01075,Flood,Medium,43
DIS01076,Supplier Failure,Low,4
DIS01077,Earthquake,Medium,78
DIS01078,Port Closure,Low,36
DIS01079,Cyber Attack,Medium,88
DIS01080,Supplier Failure,Low,96
DIS01081,Flood,Low,55
DIS01082,Flood,High,52
DIS01083,Supplier Failure,High,38
DIS01084,Earthquake,Medium,41
DIS01085,Supplier Failure,Low,73
DIS01086,Cyber Attack,Low,53
DIS01087,Supplier Failure,Medium,77
DIS01088,Cyber Attack,Low,76
DIS01089,Supplier Failure,Low,17
DIS01090,Port Closure,High,69
DIS01091,Flood,Medium,98
DIS01092,Port Closure,High,80
DIS01093,Port Closure,Low,93
DIS01094,Earthquake,Medium,4
DIS01095,Supplier Failure,Medium,97
DIS01096,Port Closure,Medium,77
DIS01097,Earthquake,High,80
DIS01098,Cyber Attack,High,10
DIS01099,Flood,Low,83
DIS01100,Cyber Attack,High,8
DIS01101,Earthquake,High,42
DIS01102,Flood,Medium,65
DIS01103,Earthquake,Medium,41
DIS01104,Earthquake,Low,34
DIS01105,Flood,High,58
DIS01106,Supplier Failure,High,7
DIS01107,Port Closure,Low,86
DIS01108,Cyber Attack,High,78
DIS01109,Supplier Failure,High,85
DIS01110,Flood,Medium,80
DIS01111,Supplier Failure,Medium,38
DIS01112,Flood,High,19
DIS01113,Supplier Failure,Medium,19
DIS01114,Port Closure,Medium,6
DIS01115,Flood,Low,7
DIS01116,Earthquake,Medium,88
DIS01117,Earthquake,Medium,33
DIS01118,Earthquake,High,24
DIS01119,Supplier Failure,High,17
DIS01120,Flood,Medium,81
DIS01121,Port Closure,High,87
DIS01122,Port Closure,High,38
DIS01123,Cyber Attack,Medium,34
DIS01124,Supplier Failure,Low,66
DIS01125,Cyber Attack,Low,48
DIS01126,Flood,Low,84
DIS01127,Supplier Failure,High,71
DIS01128,Supplier Failure,High,33
DIS01129,Flood,High,39
DIS01130,Cyber Attack,Low,79
DIS01131,Flood,High,18
DIS01132,Earthquake,Medium,39
DIS01133,Flood,Low,4
DIS01134,Supplier Failure,Medium,24
DIS01135,Supplier Failure,Low,54
DIS01136,Earthquake,Low,62
DIS01137,Port Closure,Low,92
DIS01138,Flood,Low,27
DIS01139,Supplier Failure,High,56
DIS01140,Supplier Failure,Medium,68
DIS01141,Supplier Failure,Medium,82
DIS01142,Supplier Failure,Low,43
DIS01143,Port Closure,Medium,28
DIS01144,Cyber Attack,High,37
DIS01145,Port Closure,Low,69
DIS01146,Flood,Medium,67
DIS01147,Flood,High,18
DIS01148,Flood,Medium,27
DIS01149,Port Closure,Medium,98
DIS01150,Port Closure,Medium,46
DIS01151,Port Closure,Medium,63
DIS01152,Cyber Attack,Medium,18
DIS01153,Flood,Low,85
DIS01154,Earthquake,Low,65
DIS01155,Flood,High,3
DIS01156,Flood,Medium,40
DIS01157,Flood,Low,90
DIS01158,Port Closure,Medium,63
DIS01159,Flood,Low,94
DIS01160,Port Closure,Medium,47
DIS01161,Flood,Low,88
DIS01162,Supplier Failure,Medium,86
DIS01163,Port Closure,Low,62
DIS01164,Supplier Failure,Low,100
DIS01165,Cyber Attack,Medium,42
DIS01166,Supplier Failure,Medium,84
DIS01167,Port Closure,Medium,90
DIS01168,Supplier Failure,High,88
DIS01169,Supplier Failure,High,64
DIS01170,Supplier Failure,Medium,68
DIS01171,Supplier Failure,High,54
DIS01172,Earthquake,High,34
DIS01173,Cyber Attack,Medium,35
DIS01174,Flood,Low,17
DIS01175,Cyber Attack,High,55
DIS01176,Port Closure,Medium,12
DIS01177,Port Closure,High,92
DIS01178,Earthquake,High,92
DIS01179,Port Closure,Medium,34
DIS01180,Port Closure,Low,6
DIS01181,Supplier Failure,Low,37
DIS01182,Supplier Failure,Low,27
DIS01183,Supplier Failure,Medium,22
DIS01184,Cyber Attack,Medium,31
DIS01185,Cyber Attack,High,15
DIS01186,Earthquake,Medium,28
DIS01187,Cyber Attack,Low,17
DIS01188,Flood,High,86
DIS01189,Supplier Failure,High,16
DIS01190,Earthquake,Low,47
DIS01191,Supplier Failure,High,61
DIS01192,Port Closure,Low,6
DIS01193,Earthquake,High,46
DIS01194,Cyber Attack,High,72
DIS01195,Supplier Failure,Low,20
DIS01196,Cyber Attack,Medium,94
DIS01197,Supplier Failure,Medium,77
DIS01198,Earthquake,Low,8
DIS01199,Supplier Failure,Low,9
DIS01200,Supplier Failure,Medium,19
DIS01201,Supplier Failure,Medium,30
DIS01202,Cyber Attack,Medium,75
DIS01203,Supplier Failure,Medium,80
DIS01204,Earthquake,High,63
DIS01205,Cyber Attack,High,45
DIS01206,Port Closure,Medium,47
DIS01207,Cyber Attack,High,23
DIS01208,Supplier Failure,Medium,86
DIS01209,Supplier Failure,High,19
DIS01210,Earthquake,Medium,11
DIS01211,Flood,Medium,20
DIS01212,Supplier Failure,Medium,10
DIS01213,Earthquake,Medium,21
DIS01214,Cyber Attack,Medium,22
DIS01215,Cyber Attack,Low,52
DIS01216,Supplier Failure,Low,6
DIS01217,Earthquake,Medium,84
DIS01218,Cyber Attack,Medium,31
DIS01219,Earthquake,Low,46
DIS01220,Flood,Medium,75
DIS01221,Port Closure,Low,79
DIS01222,Flood,Low,68
DIS01223,Cyber Attack,High,90
DIS01224,Port Closure,High,83
DIS01225,Cyber Attack,Medium,75
DIS01226,Flood,High,50
DIS01227,Supplier Failure,Low,5
DIS01228,Cyber Attack,High,59
DIS01229,Supplier Failure,Low,92
DIS01230,Cyber Attack,High,70
DIS01231,Cyber Attack,Medium,59
DIS01232,Flood,High,5
DIS01233,Cyber Attack,High,98
DIS01234,Cyber Attack,High,8
DIS01235,Cyber Attack,Medium,52
DIS01236,Cyber Attack,Medium,73
DIS01237,Flood,High,61
DIS01238,Earthquake,High,19
DIS01239,Flood,High,35
DIS01240,Supplier Failure,High,100
DIS01241,Cyber Attack,High,42
DIS01242,Earthquake,Low,70
DIS01243,Cyber Attack,Low,16
DIS01244,Cyber Attack,Medium,87
DIS01245,Port Closure,Low,98
DIS01246,Port Closure,Low,75
DIS01247,Supplier Failure,Medium,51
DIS01248,Port Closure,High,45
DIS01249,Earthquake,Low,89
DIS01250,Supplier Failure,High,35
DIS01251,Earthquake,High,61
DIS01252,Flood,Medium,38
DIS01253,Supplier Failure,Low,61
DIS01254,Earthquake,High,63
DIS01255,Earthquake,Medium,69
DIS01256,Supplier Failure,Medium,10
DIS01257,Cyber Attack,Low,50
DIS01258,Supplier Failure,Medium,96
DIS01259,Port Closure,High,37
DIS01260,Cyber Attack,Low,45
DIS01261,Earthquake,Medium,65
DIS01262,Port Closure,Medium,50
DIS01263,Port Closure,Medium,95
DIS01264,Supplier Failure,High,39
DIS01265,Port Closure,Medium,2
DIS01266,Port Closure,Medium,38
DIS01267,Flood,Medium,44
DIS01268,Cyber Attack,High,66
DIS01269,Flood,Medium,27
DIS01270,Port Closure,High,53
DIS01271,Supplier Failure,Low,93
DIS01272,Port Closure,Medium,51
DIS01273,Cyber Attack,Low,53
DIS01274,Supplier Failure,Low,13
DIS01275,Port Closure,High,24
DIS01276,Earthquake,Medium,35
DIS01277,Port Closure,Low,2
DIS01278,Supplier Failure,Low,52
DIS01279,Flood,Low,53
DIS01280,Flood,High,8
DIS01281,Supplier Failure,High,18
DIS01282,Earthquake,Low,78
DIS01283,Supplier Failure,Medium,96
DIS01284,Port Closure,Medium,99
DIS01285,Port Closure,Low,14
DIS01286,Earthquake,High,4
DIS01287,Port Closure,Low,31
DIS01288,Flood,High,83
DIS01289,Port Closure,High,53
DIS01290,Earthquake,Medium,14
DIS01291,Port Closure,High,43
DIS01292,Supplier Failure,High,84
DIS01293,Supplier Failure,High,3
DIS01294,Cyber Attack,Medium,5
DIS01295,Cyber Attack,Low,81
DIS01296,Cyber Attack,High,93
DIS01297,Cyber Attack,Low,80
DIS01298,Supplier Failure,High,25
DIS01299,Supplier Failure,High,69
DIS01300,Port Closure,Low,69
DIS01301,Cyber Attack,Low,83
DIS01302,Earthquake,Medium,52
DIS01303,Earthquake,Medium,26
DIS01304,Supplier Failure,Low,38
DIS01305,Flood,High,51
DIS01306,Earthquake,High,53
DIS01307,Earthquake,Low,19
DIS01308,Flood,Low,72
DIS01309,Supplier Failure,Medium,52
DIS01310,Port Closure,Low,95
DIS01311,Earthquake,Low,87
DIS01312,Port Closure,High,81
DIS01313,Cyber Attack,Low,97
DIS01314,Supplier Failure,High,59
DIS01315,Port Closure,High,48
DIS01316,Flood,Low,22
DIS01317,Earthquake,Medium,68
DIS01318,Port Closure,Low,75
DIS01319,Supplier Failure,Low,12
DIS01320,Port Closure,High,36
DIS01321,Flood,Low,33
DIS01322,Supplier Failure,Low,65
DIS01323,Port Closure,High,7
DIS01324,Earthquake,High,17
DIS01325,Cyber Attack,Low,11
DIS01326,Cyber Attack,Low,58
DIS01327,Port Closure,Low,35
DIS01328,Earthquake,Medium,84
DIS01329,Port Closure,Low,83
DIS01330,Port Closure,Medium,39
DIS01331,Port Closure,Medium,33
DIS01332,Flood,High,24
DIS01333,Flood,Low,47
DIS01334,Port Closure,Medium,13
DIS01335,Flood,Medium,49
DIS01336,Port Closure,Low,52
DIS01337,Supplier Failure,High,17
DIS01338,Supplier Failure,Low,82
DIS01339,Cyber Attack,High,88
DIS01340,Supplier Failure,Medium,34
DIS01341,Port Closure,High,34
DIS01342,Supplier Failure,Medium,64
DIS01343,Port Closure,Medium,38
DIS01344,Flood,Medium,4
DIS01345,Port Closure,High,74
DIS01346,Cyber Attack,High,63
DIS01347,Port Closure,Medium,52
DIS01348,Earthquake,Medium,7
DIS01349,Port Closure,Medium,97
DIS01350,Flood,Low,23
DIS01351,Port Closure,High,50
DIS01352,Port Closure,Low,19
DIS01353,Cyber Attack,Medium,18
DIS01354,Flood,Low,19
DIS01355,Earthquake,Low,32
DIS01356,Cyber Attack,Medium,51
DIS01357,Flood,Low,53
DIS01358,Port Closure,High,66
DIS01359,Earthquake,Low,61
DIS01360,Supplier Failure,High,80
DIS01361,Supplier Failure,High,50
DIS01362,Port Closure,High,44
DIS01363,Flood,Low,11
DIS01364,Earthquake,High,46
DIS01365,Supplier Failure,Low,74
DIS01366,Flood,Medium,20
DIS01367,Supplier Failure,Low,13
DIS01368,Supplier Failure,High,89
DIS01369,Port Closure,High,57
DIS01370,Cyber Attack,Low,56
DIS01371,Flood,Low,12
DIS01372,Supplier Failure,High,100
DIS01373,Supplier Failure,Medium,25
DIS01374,Port Closure,Medium,54
DIS01375,Supplier Failure,Medium,19
DIS01376,Cyber Attack,Medium,37
DIS01377,Supplier Failure,High,8
DIS01378,Supplier Failure,High,71
DIS01379,Cyber Attack,Medium,2
DIS01380,Port Closure,High,50
DIS01381,Supplier Failure,Low,17
DIS01382,Port Closure,Low,48
DIS01383,Earthquake,Low,16
DIS01384,Supplier Failure,High,65
DIS01385,Supplier Failure,High,95
DIS01386,Earthquake,Low,63
DIS01387,Flood,Low,65
DIS01388,Port Closure,Medium,67
DIS01389,Earthquake,Medium,73
DIS01390,Flood,Low,72
DIS01391,Cyber Attack,Medium,9
DIS01392,Flood,High,35
DIS01393,Cyber Attack,Medium,89
DIS01394,Port Closure,Medium,64
DIS01395,Port Closure,High,52
DIS01396,Earthquake,Low,76
DIS01397,Cyber Attack,Low,88
DIS01398,Flood,Low,34
DIS01399,Supplier Failure,High,9
DIS01400,Flood,Low,60
DIS01401,Port Closure,High,23
DIS01402,Earthquake,High,39
DIS01403,Earthquake,High,76
DIS01404,Cyber Attack,Low,98
DIS01405,Port Closure,High,6
DIS01406,Port Closure,Medium,81
DIS01407,Port Closure,Low,34
DIS01408,Flood,Low,91
DIS01409,Flood,Low,5
DIS01410,Cyber Attack,High,67
DIS01411,Supplier Failure,High,77
DIS01412,Cyber Attack,Low,8
DIS01413,Supplier Failure,Medium,49
DIS01414,Supplier Failure,High,20
DIS01415,Earthquake,High,39
DIS01416,Earthquake,Low,74
DIS01417,Cyber Attack,High,99
DIS01418,Supplier Failure,High,63
DIS01419,Earthquake,Low,17
DIS01420,Supplier Failure,Medium,34
DIS01421,Port Closure,Low,87
DIS01422,Cyber Attack,High,89
DIS01423,Supplier Failure,High,34
DIS01424,Port Closure,High,22
DIS01425,Earthquake,Medium,42
DIS01426,Cyber Attack,Medium,31
DIS01427,Earthquake,Medium,83
DIS01428,Port Closure,High,23
DIS01429,Port Closure,Medium,98
DIS01430,Flood,Low,92
DIS01431,Flood,Low,75
DIS01432,Supplier Failure,Medium,40
DIS01433,Port Closure,High,64
DIS01434,Supplier Failure,Low,43
DIS01435,Port Closure,High,85
DIS01436,Supplier Failure,Low,80
DIS01437,Supplier Failure,High,4
DIS01438,Port Closure,Low,46
DIS01439,Flood,Low,43
DIS01440,Cyber Attack,High,18
DIS01441,Supplier Failure,Low,70
DIS01442,Earthquake,Medium,45
DIS01443,Cyber Attack,Medium,48
DIS01444,Flood,Medium,1
DIS01445,Supplier Failure,Medium,87
DIS01446,Port Closure,High,87
DIS01447,Port Closure,Low,29
DIS01448,Flood,High,49
DIS01449,Port Closure,Medium,89
DIS01450,Flood,Medium,58
DIS01451,Earthquake,Medium,35
DIS01452,Port Closure,Low,93
DIS01453,Flood,Low,96
DIS01454,Port Closure,Medium,16
DIS01455,Port Closure,Low,8
DIS01456,Supplier Failure,Low,28
DIS01457,Port Closure,High,41
DIS01458,Earthquake,High,26
DIS01459,Port Closure,High,66
DIS01460,Cyber Attack,High,5
DIS01461,Cyber Attack,Medium,69
DIS01462,Flood,Medium,81
DIS01463,Supplier Failure,High,4
DIS01464,Supplier Failure,High,71
DIS01465,Port Closure,Medium,100
DIS01466,Supplier Failure,Low,17
DIS01467,Supplier Failure,High,63
DIS01468,Earthquake,High,53
DIS01469,Cyber Attack,Medium,28
DIS01470,Earthquake,Low,65
DIS01471,Supplier Failure,High,58
DIS01472,Supplier Failure,High,28
DIS01473,Flood,Low,75
DIS01474,Supplier Failure,Medium,9
DIS01475,Flood,Low,70
DIS01476,Port Closure,Medium,41
DIS01477,Supplier Failure,High,66
DIS01478,Flood,Medium,41
DIS01479,Cyber Attack,High,42
DIS01480,Earthquake,High,36
DIS01481,Supplier Failure,Low,66
DIS01482,Earthquake,Medium,11
DIS01483,Earthquake,Low,48
DIS01484,Cyber Attack,Medium,4
DIS01485,Flood,High,90
DIS01486,Earthquake,Low,98
DIS01487,Flood,High,12
DIS01488,Port Closure,High,4
DIS01489,Supplier Failure,Low,13
DIS01490,Supplier Failure,Medium,61
DIS01491,Cyber Attack,High,57
DIS01492,Cyber Attack,Medium,83
DIS01493,Cyber Attack,Low,65
DIS01494,Port Closure,Low,42
DIS01495,Supplier Failure,High,48
DIS01496,Flood,High,3
DIS01497,Earthquake,Medium,17
DIS01498,Earthquake,Medium,94
DIS01499,Flood,High,15
DIS01500,Flood,High,79
DIS01501,Port Closure,Medium,42
DIS01502,Earthquake,High,93
DIS01503,Cyber Attack,High,70
DIS01504,Cyber Attack,Medium,82
DIS01505,Supplier Failure,Low,3
DIS01506,Cyber Attack,Medium,54
DIS01507,Flood,Medium,67
DIS01508,Cyber Attack,Low,93
DIS01509,Earthquake,Medium,47
DIS01510,Cyber Attack,High,90
DIS01511,Earthquake,High,50
DIS01512,Cyber Attack,Medium,66
DIS01513,Port Closure,Low,40
DIS01514,Earthquake,High,44
DIS01515,Cyber Attack,Medium,39
DIS01516,Supplier Failure,Medium,99
DIS01517,Supplier Failure,High,56
DIS01518,Supplier Failure,Low,13
DIS01519,Flood,Low,67
DIS01520,Supplier Failure,Medium,19
DIS01521,Port Closure,High,69
DIS01522,Port Closure,Low,14
DIS01523,Port Closure,High,87
DIS01524,Cyber Attack,High,41
DIS01525,Flood,High,52
DIS01526,Earthquake,Medium,52
DIS01527,Flood,High,49
DIS01528,Port Closure,High,43
DIS01529,Port Closure,High,74
DIS01530,Flood,Medium,89
DIS01531,Port Closure,High,53
DIS01532,Cyber Attack,Medium,88
DIS01533,Earthquake,Medium,94
DIS01534,Flood,Medium,57
DIS01535,Supplier Failure,High,100
DIS01536,Port Closure,Low,45
DIS01537,Flood,High,15
DIS01538,Earthquake,Medium,59
DIS01539,Earthquake,Low,89
DIS01540,Earthquake,Medium,9
DIS01541,Supplier Failure,Medium,90
DIS01542,Earthquake,Medium,71
DIS01543,Supplier Failure,Medium,100
DIS01544,Earthquake,High,90
DIS01545,Earthquake,Low,15
DIS01546,Cyber Attack,High,64
DIS01547,Cyber Attack,Medium,4
DIS01548,Flood,Medium,74
DIS01549,Flood,Medium,24
DIS01550,Supplier Failure,Low,20
DIS01551,Earthquake,Medium,79
DIS01552,Earthquake,Low,37
DIS01553,Flood,High,83
DIS01554,Cyber Attack,Low,19
DIS01555,Earthquake,Medium,58
DIS01556,Flood,Low,38
DIS01557,Cyber Attack,High,42
DIS01558,Supplier Failure,High,9
DIS01559,Earthquake,Medium,69
DIS01560,Cyber Attack,Medium,13
DIS01561,Cyber Attack,Medium,38
DIS01562,Supplier Failure,Medium,71
DIS01563,Flood,High,42
DIS01564,Cyber Attack,Low,47
DIS01565,Port Closure,High,5
DIS01566,Supplier Failure,Low,53
DIS01567,Flood,Low,81
DIS01568,Flood,Medium,99
DIS01569,Port Closure,High,25
DIS01570,Flood,Low,80
DIS01571,Flood,Medium,36
DIS01572,Earthquake,Medium,46
DIS01573,Flood,High,29
DIS01574,Cyber Attack,Medium,70
DIS01575,Earthquake,High,14
DIS01576,Flood,Medium,72
DIS01577,Earthquake,Medium,73
DIS01578,Supplier Failure,Medium,31
DIS01579,Flood,Low,25
DIS01580,Supplier Failure,High,54
DIS01581,Cyber Attack,High,6
DIS01582,Flood,Medium,75
DIS01583,Earthquake,Medium,85
DIS01584,Earthquake,High,84
DIS01585,Supplier Failure,Low,4
DIS01586,Cyber Attack,Low,6
DIS01587,Earthquake,Medium,95
DIS01588,Supplier Failure,Medium,87
DIS01589,Port Closure,Medium,46
DIS01590,Port Closure,High,31
DIS01591,Cyber Attack,Medium,81
DIS01592,Flood,High,9
DIS01593,Earthquake,High,37
DIS01594,Cyber Attack,Medium,79
DIS01595,Supplier Failure,Medium,48
DIS01596,Supplier Failure,Low,13
DIS01597,Cyber Attack,Medium,50
DIS01598,Earthquake,High,87
DIS01599,Supplier Failure,Low,40
DIS01600,Cyber Attack,High,17
DIS01601,Supplier Failure,Low,34
